"categoria","centroide_lat","centroide_lon","fuente","id","nombre","nombre_completo","provincia_id","provincia_interseccion","provincia_nombre"
"Municipio",-25.0395625548901,-65.3904542120284,"Direc. Grl. de Inmuebles","660084","La Merced","Municipio La Merced","66",0.00204611628185148,"Salta"
"Municipio",-24.9101681976984,-64.5809409708697,"Direc. Grl. de Inmuebles","660035","Las Lajitas","Municipio Las Lajitas","66",0.02538765769719,"Salta"
"Municipio",-24.6951301961003,-67.7458583264751,"Direc. Grl. de Inmuebles","660252","Tolar Grande","Municipio Tolar Grande","66",0.0919476121351167,"Salta"
"Municipio",-26.1255058750696,-65.88008457856,"Direc. Grl. de Inmuebles","660056","Cafayate","Municipio Cafayate","66",0.0102435663917782,"Salta"
"Municipio",-24.9165899415056,-65.4227277758729,"Direc. Grl. de Inmuebles","660077","Cerrillos","Municipio Cerrillos","66",0.00145035886082852,"Salta"
"Municipio",-23.2139456004596,-63.6867474854893,"Direc. Grl. de Inmuebles","660133","Embarcación","Municipio Embarcación","66",0.0258613734816801,"Salta"
"Municipio",-25.2657044540023,-65.0359297190078,"Direc. Grl. de Inmuebles","660280","Río Piedras","Municipio Río Piedras","66",0.00566403644033659,"Salta"
"Municipio",-24.8000501678009,-64.9080381225923,"Direc. Grl. de Inmuebles","660119","General Güemes","Municipio General Güemes","66",0.0111651721112992,"Salta"
"Municipio",-22.4176111811168,-62.8122067292647,"Direc. Grl. de Inmuebles","660343","Santa Victoria Este","Municipio Santa Victoria Este","66",0.031010958940813,"Salta"
"Municipio",-24.503469017085,-65.8693993163521,"Direc. Grl. de Inmuebles","660364","Campo Quijano","Municipio Campo Quijano","66",0.0301624310830474,"Salta"
"Municipio",-25.9298333255864,-66.3372867377435,"Direc. Grl. de Inmuebles","660378","Angastaco","Municipio Angastaco","66",0.0212346328516374,"Salta"
"Municipio",-22.1863764264674,-63.5496991956857,"Direc. Grl. de Inmuebles","660126","Aguaray","Municipio Aguaray","66",0.0169359645933444,"Salta"
"Municipio",-22.2585509228289,-65.0145224579477,"Direc. Grl. de Inmuebles","660413","Santa Victoria Oeste","Municipio Santa Victoria Oeste","66",0.00963193590215233,"Salta"
"Municipio",-22.4901350156833,-65.0457893547068,"Direc. Grl. de Inmuebles","660406","Nazareno","Municipio Nazareno","66",0.00690919089898843,"Salta"
"Municipio",-25.7029452739388,-65.4445328508854,"Direc. Grl. de Inmuebles","660168","Guachipas","Municipio Guachipas","66",0.0181582541400105,"Salta"
"Municipio",-25.5135434924208,-64.976719143493,"Direc. Grl. de Inmuebles","660266","Metán","Municipio Metán","66",0.00729679644950015,"Salta"
"Municipio",-23.0849220134688,-64.6094728862924,"Direc. Grl. de Inmuebles","660315","San Ramón de la Nueva Orán","Municipio San Ramón de la Nueva Orán","66",0.0222364756566436,"Salta"
"Municipio",-24.5066508305036,-64.146506788237,"Direc. Grl. de Inmuebles","660007","Apolinario Saravia","Municipio Apolinario Saravia","66",0.00703394113112382,"Salta"
"Municipio",-22.6055769659415,-63.9782396370587,"Direc. Grl. de Inmuebles","660147","General Mosconi","Municipio General Mosconi","66",0.0181458085876167,"Salta"
"Municipio",-22.4689957526384,-64.6575099735318,"Direc. Grl. de Inmuebles","660399","Los Toldos","Municipio Los Toldos","66",0.00916558720739348,"Salta"
"Municipio",-25.2941908506985,-65.4144258201107,"Direc. Grl. de Inmuebles","660231","Coronel Moldes","Municipio Coronel Moldes","66",0.00475922588160965,"Salta"
"Municipio",-23.728543811028,-63.8504366193731,"Direc. Grl. de Inmuebles","660308","Pichanal","Municipio Pichanal","66",0.0435758622529221,"Salta"
"Municipio",-24.792347642004,-63.6538145950214,"Direc. Grl. de Inmuebles","660028","Joaquín V. González","Municipio Joaquín V. González","66",0.071984669969401,"Salta"
"Municipio",-38.5808546732895,-62.1656895327094,"ARBA - Gerencia de Servicios Catastrales","060056","Bahía Blanca","Municipio Bahía Blanca","06",0.00754121273617542,"Buenos Aires"
"Municipio",-27.7111201189354,-66.847492244729,"Adm. Grl. de Catastro","100063","Belén","Municipio Belén","10",0.0151605671551815,"Catamarca"
"Municipio",-27.2327739205627,-66.6867349793277,"Adm. Grl. de Catastro","100077","Hualfín","Municipio Hualfín","10",0.00697375946547148,"Catamarca"
"Municipio",-25.0590252489353,-66.2878110751075,"Direc. Grl. de Inmuebles","660042","Cachi","Municipio Cachi","66",0.012889502984612,"Salta"
"Municipio",-26.0357145843493,-65.4415593896556,"Direc. Grl. de Inmuebles","660203","El Jardín","Municipio El Jardín","66",0.00147689394146536,"Salta"
"Municipio",-24.5731647705322,-66.8172575823382,"Direc. Grl. de Inmuebles","660245","San Antonio de los Cobres","Municipio San Antonio de los Cobres","66",0.0701328624717204,"Salta"
"Municipio",-25.6051411736222,-66.4900375368787,"Direc. Grl. de Inmuebles","660273","Molinos","Municipio Molinos","66",0.0210305582336813,"Salta"
"Municipio",-27.5461401411272,-67.1694075115445,"Adm. Grl. de Catastro","100091","Pozo de Piedra","Municipio Pozo de Piedra","10",0.00478006348453558,"Catamarca"
"Municipio",-27.3077227595379,-66.8569085255966,"Adm. Grl. de Catastro","100112","San Fernando","Municipio San Fernando","10",0.00207252332357692,"Catamarca"
"Municipio",-26.8778834110203,-66.2971211607982,"Adm. Grl. de Catastro","100203","San José","Municipio San José","10",0.042354719664114,"Catamarca"
"Municipio",-26.4929339197446,-66.1496524320488,"Adm. Grl. de Catastro","100210","Santa María","Municipio Santa María","10",0.0132976106993203,"Catamarca"
"Municipio",-27.5035405012381,-66.0582983765108,"Adm. Grl. de Catastro","100042","Aconquija","Municipio Aconquija","10",0.00853194507215629,"Catamarca"
"Municipio",-27.5535805469095,-66.4219289567448,"Adm. Grl. de Catastro","100049","Andalgalá","Municipio Andalgalá","10",0.0385303526911644,"Catamarca"
"Municipio",-28.0574573700851,-66.40241020613,"Adm. Grl. de Catastro","100196","Saujil","Municipio Saujil","10",0.0314404558600217,"Catamarca"
"Municipio",-28.411675471996,-66.4313284959768,"Adm. Grl. de Catastro","100189","Pomán","Municipio Pomán","10",0.0218704827488914,"Catamarca"
"Municipio",-28.3106975214611,-66.1479259632378,"Adm. Grl. de Catastro","100185","Mutquín","Municipio Mutquín","10",0.00143375132619145,"Catamarca"
"Municipio",-28.4104559393525,-65.8362002957157,"Adm. Grl. de Catastro","100140","San Fernando del Valle de Catamarca","Municipio San Fernando del Valle de Catamarca","10",0.00396530611505024,"Catamarca"
"Municipio",-28.1100495534152,-65.6738760474972,"Adm. Grl. de Catastro","100182","Paclín","Municipio Paclín","10",0.00977196821687309,"Catamarca"
"Municipio",-38.2027130466249,-58.0722485722111,"ARBA - Gerencia de Servicios Catastrales","060280","General Alvarado","Municipio General Alvarado","06",0.00543276666507412,"Buenos Aires"
"Municipio",-28.7904353562757,-68.6977547342455,"IGN","460077","General Lamadrid","Municipio General Lamadrid","46",0.0664503583055262,"La Rioja"
"Municipio",-28.3164203776533,-68.5253984631142,"IGN","460098","Vinchina","Municipio Vinchina","46",0.123072933417896,"La Rioja"
"Municipio",-29.449795605204,-68.3284822964494,"IGN","460028","Coronel Felipe Varela","Municipio Coronel Felipe Varela","46",0.0902197250287155,"La Rioja"
"Municipio",-28.8599829479001,-66.9185847556269,"IGN","460021","Castro Barros","Municipio Castro Barros","46",0.016563824692652,"La Rioja"
"Municipio",-29.6066873518889,-69.4379498926956,"Direc. de Geodesia y Catastro","700049","Iglesia","Municipio Iglesia","70",0.21516244196088,"San Juan"
"Municipio",-30.7122962694162,-67.532303564839,"Direc. de Geodesia y Catastro","700119","Valle Fértil","Municipio Valle Fértil","70",0.0589946311427448,"San Juan"
"Municipio",-31.0904647062097,-68.8815821606005,"Direc. de Geodesia y Catastro","700112","Ullum","Municipio Ullum","70",0.0503459806801266,"San Juan"
"Municipio",-31.2096344810555,-68.4519807662306,"Direc. de Geodesia y Catastro","700007","Albardón","Municipio Albardón","70",0.0115231977396303,"San Juan"
"Municipio",-31.6381980593895,-68.9555709233009,"Direc. de Geodesia y Catastro","700133","Zonda","Municipio Zonda","70",0.0272428308107438,"San Juan"
"Municipio",-35.2178364156832,-67.0804473289427,"IGN","500014","General Alvear","Municipio General Alvear","50",0.0993663751625383,"Mendoza"
"Municipio",-34.944544968313,-68.3826783124895,"IGN","500105","San Rafael","Municipio San Rafael","50",0.211310471554893,"Mendoza"
"Municipio",-31.5327173670967,-68.4634116809574,"Direc. de Geodesia y Catastro","700098","Santa Lucía","Municipio Santa Lucía","70",0.000617293120832176,"San Juan"
"Municipio",-31.6865858135558,-68.4675631318926,"Direc. de Geodesia y Catastro","700077","Rawson","Municipio Rawson","70",0.00326511461615207,"San Juan"
"Municipio",-30.3550759493247,-68.4412683481452,"Direc. de Geodesia y Catastro","700056","Jáchal","Municipio Jáchal","70",0.161947599206547,"San Juan"
"Municipio",-31.4533652386093,-69.8338001250746,"Direc. de Geodesia y Catastro","700021","Calingasta","Municipio Calingasta","70",0.25768851293505,"San Juan"
"Municipio",-31.9896198488069,-67.8274038980406,"Direc. de Geodesia y Catastro","700126","25 de Mayo","Municipio 25 de Mayo","70",0.0484475600077942,"San Juan"
"Municipio",-37.9656760017008,-57.743144039076,"ARBA - Gerencia de Servicios Catastrales","060357","General Pueyrredón","Municipio General Pueyrredón","06",0.00486483975046215,"Buenos Aires"
"Municipio",-37.4984341236931,-57.6436183313312,"ARBA - Gerencia de Servicios Catastrales","060518","Mar Chiquita","Municipio Mar Chiquita","06",0.0102133023287361,"Buenos Aires"
"Municipio",-31.5330748483572,-68.5342856277406,"Direc. de Geodesia y Catastro","700028","San Juan","Municipio San Juan","70",0.000304404814290635,"San Juan"
"Comisión de Fomento",-37.2860435824025,-70.9333362922709,"Direc. Pcial. de Catastro e Inf. Territorial","585077","Guañacos","Comisión de Fomento Guañacos","58",0.00620718986179549,"Neuquén"
"Municipio",-33.419707109754,-68.6121759957283,"IGN","500084","Rivadavia","Municipio Rivadavia","50",0.014230301993113,"Mendoza"
"Municipio",-34.0753663961096,-69.0977010128896,"IGN","500091","San Carlos","Municipio San Carlos","50",0.0768118081400139,"Mendoza"
"Municipio",-33.6223342938162,-69.507805463383,"IGN","500119","Tunuyán","Municipio Tunuyán","50",0.0221821485601708,"Mendoza"
"Municipio",-33.0382520812749,-69.4437142136648,"IGN","500063","Luján de Cuyo","Municipio Luján de Cuyo","50",0.0320525017478883,"Mendoza"
"Municipio",-32.5247668775426,-69.2671757239401,"IGN","500049","Las Heras","Municipio Las Heras","50",0.0581153241941827,"Mendoza"
"Municipio",-32.582585367751,-67.8890727049671,"IGN","500056","Lavalle","Municipio Lavalle","50",0.0671471657023154,"Mendoza"
"Municipio",-36.1572730441954,-69.3135099463235,"IGN","500077","Malargüe","Municipio Malargüe","50",0.277429787816349,"Mendoza"
"Municipio",-32.8806541047985,-68.8921657602392,"IGN","500007","Capital","Municipio Capital","50",0.000346397919648896,"Mendoza"
"Comuna",-26.9597071072569,-65.2814079053137,"Dirección de Estadística de la Prov. Tucumán","908322","Manuel Garcia Fernandez","Comuna Manuel Garcia Fernandez","90",0.000869815331805669,"Tucumán"
"Municipio",-37.4279286578832,-68.904881950857,"Direc. Pcial. de Catastro e Inf. Territorial","580210","Rincón de los Sauces","Municipio Rincón de los Sauces","58",0.0102410349731191,"Neuquén"
"Comisión de Fomento",-37.6310256208455,-68.3594661614186,"Direc. Pcial. de Catastro e Inf. Territorial","585105","Octavio Pico","Comisión de Fomento Octavio Pico","58",0.00320637445218676,"Neuquén"
"Municipio",-37.2421306229288,-69.8210409111221,"Direc. Pcial. de Catastro e Inf. Territorial","580203","Buta Ranquil","Municipio Buta Ranquil","58",0.0227834097544042,"Neuquén"
"Comisión de Fomento",-38.4119191438239,-69.7502827574929,"Direc. Pcial. de Catastro e Inf. Territorial","585126","Quili Malal","Comisión de Fomento Quili Malal","58",0.00389326725599612,"Neuquén"
"Municipio",-38.7687927342046,-70.0160273047475,"Direc. Pcial. de Catastro e Inf. Territorial","580238","Mariano Moreno","Municipio Mariano Moreno","58",0.00096785655483942,"Neuquén"
"Municipio",-39.9210969926669,-71.0997656206867,"Direc. Pcial. de Catastro e Inf. Territorial","580112","Junín de los Andes","Municipio Junín de los Andes","58",0.0152679325441024,"Neuquén"
"Municipio",-39.2342734029443,-70.9120954468479,"Direc. Pcial. de Catastro e Inf. Territorial","580007","Aluminé","Municipio Aluminé","58",0.000853395747888524,"Neuquén"
"Municipio",-38.9446959754993,-68.1001766838423,"Direc. Pcial. de Catastro e Inf. Territorial","580056","Neuquén","Municipio Neuquén","58",0.00136159341561869,"Neuquén"
"Municipio",-38.7973834665027,-68.1756656510973,"Direc. Pcial. de Catastro e Inf. Territorial","580042","Centenario","Municipio Centenario","58",0.00138970499280536,"Neuquén"
"Municipio",-37.109945873389,-56.8696753983418,"ARBA - Gerencia de Servicios Catastrales","060644","Pinamar","Municipio Pinamar","06",0.000218910073013455,"Buenos Aires"
"Municipio",-38.9398936598766,-69.2541458274133,"Direc. Pcial. de Catastro e Inf. Territorial","580049","Cutral Có","Municipio Cutral Có","58",0.000856855369101051,"Neuquén"
"Municipio",-38.9406582608027,-69.1598555722786,"Direc. Pcial. de Catastro e Inf. Territorial","580063","Plaza Huincul","Municipio Plaza Huincul","58",0.000837072902335528,"Neuquén"
"Comisión de Fomento",-39.4816153694996,-69.5258646816178,"Direc. Pcial. de Catastro e Inf. Territorial","585112","El Sauce","Comisión de Fomento El Sauce","58",0.00369788660386927,"Neuquén"
"Municipio",-39.5272959346432,-69.3041340199497,"Direc. Pcial. de Catastro e Inf. Territorial","580217","Picún Leufú","Municipio Picún Leufú","58",0.0014864359869111,"Neuquén"
"Municipio",-39.6076912118787,-70.5825186548069,"Direc. Pcial. de Catastro e Inf. Territorial","580028","Las Coloradas","Municipio Las Coloradas","58",0.000858165350169015,"Neuquén"
"Comisión de Fomento",-39.8409265275249,-70.0938182756884,"Direc. Pcial. de Catastro e Inf. Territorial","585035","Santo Tomás","Comisión de Fomento Santo Tomás","58",0.000942111427012083,"Neuquén"
"Municipio",-37.1472111349999,-70.9641103407799,"Direc. Pcial. de Catastro e Inf. Territorial","580161","Los Miches","Municipio Los Miches","58",0.00511245748214139,"Neuquén"
"Municipio",-37.6497782492439,-70.5833484817915,"Direc. Pcial. de Catastro e Inf. Territorial","580182","El Huecú","Municipio El Huecú","58",0.00069146058453011,"Neuquén"
"Municipio",-38.130763669743,-70.6070114096582,"Direc. Pcial. de Catastro e Inf. Territorial","580126","Loncopué","Municipio Loncopué","58",0.000840702899682668,"Neuquén"
"Municipio",-37.0444304664013,-70.3654033463117,"Direc. Pcial. de Catastro e Inf. Territorial","580105","Tricao Malal","Municipio Tricao Malal","58",0.000828687049418878,"Neuquén"
"Municipio",-27.304202864253,-58.6805128113911,"Direc. Pcial. de Catastro y Cartografía","220042","Isla del Cerrito","Municipio Isla del Cerrito","22",0.00163121115846182,"Chaco"
"Municipio",-37.0638452103236,-70.5999829263709,"Direc. Pcial. de Catastro e Inf. Territorial","580147","Huinganco","Municipio Huinganco","58",0.00311606698011327,"Neuquén"
"Comisión de Fomento",-38.0504241884088,-69.5338451224223,"Direc. Pcial. de Catastro e Inf. Territorial","585021","Los Chihuidos","Comisión de Fomento Los Chihuidos","58",0.0166606565475242,"Neuquén"
"Comisión de Fomento",-38.9693906408624,-69.7563648428793,"Direc. Pcial. de Catastro e Inf. Territorial","585147","Ramón Castro","Comisión de Fomento Ramón Castro","58",0.0091963873567677,"Neuquén"
"Comisión de Fomento",-38.6166812663412,-69.6916428096758,"Direc. Pcial. de Catastro e Inf. Territorial","585133","Covunco Abajo","Comisión de Fomento Covunco Abajo","58",0.00624171065864409,"Neuquén"
"Comisión de Fomento",-39.6260254161966,-70.898029831876,"Direc. Pcial. de Catastro e Inf. Territorial","585028","Pilo Lil","Comisión de Fomento Pilo Lil","58",0.000514108022169065,"Neuquén"
"Comisión de Fomento",-38.5628864544464,-69.0137527772465,"Direc. Pcial. de Catastro e Inf. Territorial","585042","Sauzal Bonito","Comisión de Fomento Sauzal Bonito","58",0.0019618751030913,"Neuquén"
"Municipio",-40.1347992136534,-71.3015414173336,"Direc. Pcial. de Catastro e Inf. Territorial","580119","San Martín de los Andes","Municipio San Martín de los Andes","58",0.00155617317118408,"Neuquén"
"Municipio",-27.7497326053766,-60.895146198341,"Direc. Pcial. de Catastro y Cartografía","220308","Coronel Du Graty","Municipio Coronel Du Graty","22",0.00797423455554611,"Chaco"
"Municipio",-27.6094738169633,-60.3528866161125,"Direc. Pcial. de Catastro y Cartografía","220420","Samuhú","Municipio Samuhú","22",0.00817904774432432,"Chaco"
"Municipio",-27.8743070022137,-59.1796870078997,"Direc. Pcial. de Catastro y Cartografía","220392","Basail","Municipio Basail","22",0.0136709888082691,"Chaco"
"Municipio",-27.7053948262969,-58.910501963792,"Direc. Pcial. de Catastro y Cartografía","220406","Puerto Vilelas","Municipio Puerto Vilelas","22",0.00581235193060324,"Chaco"
"Municipio",-27.4821152611743,-58.9196674519405,"Direc. Pcial. de Catastro y Cartografía","220385","Barranqueras","Municipio Barranqueras","22",0.000591017412889553,"Chaco"
"Municipio",-27.411362360788,-61.4672888167323,"Direc. Pcial. de Catastro y Cartografía","220098","General Capdevila","Municipio General Capdevila","22",0.00190563256058187,"Chaco"
"Municipio",-35.1849498630336,-57.6863916153998,"ARBA - Gerencia de Servicios Catastrales","060505","Magdalena","Municipio Magdalena","06",0.0059332248112231,"Buenos Aires"
"Municipio",-34.52651318083,-58.504469589773,"ARBA - Gerencia de Servicios Catastrales","060861","Vicente López","Municipio Vicente López","06",0.000109738393696172,"Buenos Aires"
"Municipio",-27.4192742863885,-55.3818743554229,"Ministerio de Ecología","540084","Mártires","Municipio Mártires","54",0.00355767487654828,"Misiones"
"Municipio",-26.4059052828746,-54.3574983163211,"Ministerio de Ecología","540168","Santiago de Liniers","Municipio Santiago de Liniers","54",0.0128858683039971,"Misiones"
"Municipio",-26.7112090360395,-53.9412291264285,"Ministerio de Ecología","540504","San Pedro","Municipio San Pedro","54",0.105775951040136,"Misiones"
"Comisión de Fomento",-24.2874111689075,-59.8298344316784,"Direc. Grl. Catastro (WMS)","345042","Fortín Lugones","Comisión de Fomento Fortín Lugones","34",1.22889320312158e-05,"Formosa"
"Municipio",-27.3378730497718,-60.7011479061373,"Direc. Pcial. de Catastro y Cartografía","220350","San Bernardo","Municipio San Bernardo","22",0.00992315395063279,"Chaco"
"Delegación Municipal",-25.9166159135438,-60.6640706206378,"Direc. Pcial. de Catastro y Cartografía","220182","Juan José Castelli","Delegación Municipal Juan José Castelli","22",0.0457984922891782,"Chaco"
"Municipio",-25.4782409210673,-61.0371403012266,"Direc. Pcial. de Catastro y Cartografía","220189","Miraflores","Municipio Miraflores","22",0.0359142190654188,"Chaco"
"Comuna",-27.7311386048214,-65.5637818950497,"Dirección de Estadística de la Prov. Tucumán","908259","San Jose de la Cocha","Comuna San Jose de la Cocha","90",0.00184100090085658,"Tucumán"
"Comuna Rural",-27.642361639587,-65.7194897325952,"Dirección de Estadística de la Prov. Tucumán","908266","Yanima","Comuna Rural Yanima","90",0.00151782027450508,"Tucumán"
"Municipio",-27.1249377281009,-58.6766006044424,"Direc. Pcial. de Catastro y Cartografía","220056","Las Palmas","Municipio Las Palmas","22",0.00447400765570014,"Chaco"
"Municipio",-29.0601700356195,-58.7974473916707,"Dirección de Estadística y Censos","180217","Yataytí Calle","Municipio Yataytí Calle","18",0.00718365113796041,"Corrientes"
"Delegación Municipal",-26.8872364610762,-58.5220496631663,"Direc. Pcial. de Catastro y Cartografía","220063","Puerto Bermejo","Delegación Municipal Puerto Bermejo","22",0.00445051074614882,"Chaco"
"Municipio",-27.0468199731497,-59.7751690486134,"Direc. Pcial. de Catastro y Cartografía","220357","Presidencia de la Plaza","Municipio Presidencia de la Plaza","22",0.0226149383022013,"Chaco"
"Municipio",-33.8358155353661,-60.5450748689576,"ARBA - Gerencia de Servicios Catastrales","060623","Pergamino","Municipio Pergamino","06",0.00948447519470007,"Buenos Aires"
"Municipio",-36.5722509524193,-58.9444061302172,"ARBA - Gerencia de Servicios Catastrales","060672","Rauch","Municipio Rauch","06",0.0140623511119434,"Buenos Aires"
"Comisión Municipal",-22.1949119799291,-65.3412864273208,"Direc. Grl. de Inmuebles","386273","Yavi","Comisión Municipal Yavi","38",0.0121380401177993,"Jujuy"
"Municipio",-29.0543617301547,-57.7596459149959,"Dirección de Estadística y Censos","180245","Mercedes","Municipio Mercedes","18",0.0982790444621897,"Corrientes"
"Municipio",-26.6232885192826,-59.7788567014564,"Direc. Pcial. de Catastro y Cartografía","220455","Las Garcitas","Municipio Las Garcitas","22",0.00299518450990299,"Chaco"
"Municipio",-26.5221875283042,-59.2755844593318,"Direc. Pcial. de Catastro y Cartografía","220259","Gral. San Martengeneral San Martín","Municipio Gral. San Martengeneral San Martín","22",0.0262911393403576,"Chaco"
"Municipio",-28.2333428700223,-58.5563693378129,"Dirección de Estadística y Censos","180308","Saladas","Municipio Saladas","18",0.0151109107752789,"Corrientes"
"Municipio",-26.184603792573,-59.3642106776359,"Direc. Grl. Catastro (WMS)","340252","Villa Dos Trece","Municipio Villa Dos Trece","34",5.23934041037869e-05,"Formosa"
"Municipio",-26.1772297025285,-59.6843651883855,"Direc. Pcial. de Catastro y Cartografía","220294","Presidencia Roca","Municipio Presidencia Roca","22",0.0102534050406958,"Chaco"
"Municipio",-26.0214403532384,-59.9713281008366,"Direc. Pcial. de Catastro y Cartografía","220287","Pampa del Indio","Municipio Pampa del Indio","22",0.0165126547433943,"Chaco"
"Municipio",-26.3210291409793,-60.455348259001,"Direc. Pcial. de Catastro y Cartografía","220301","Tres Isletas","Municipio Tres Isletas","22",0.029211965931054,"Chaco"
"Municipio",-36.6710137553167,-63.0491259803334,"ARBA - Gerencia de Servicios Catastrales","060721","Salliqueló","Municipio Salliqueló","06",0.00259086870837977,"Buenos Aires"
"Delegación Municipal",-25.4572628455707,-60.512589546568,"Direc. Pcial. de Catastro y Cartografía","220203","Villa Río Bermejito","Delegación Municipal Villa Río Bermejito","22",0.0312020363291327,"Chaco"
"Municipio",-24.9918396458623,-61.5529901499502,"Direc. Pcial. de Catastro y Cartografía","220169","Misión Nueva Pompeya","Municipio Misión Nueva Pompeya","22",0.0143434723724431,"Chaco"
"Municipio",-25.0435535331707,-61.9982165754166,"Direc. Pcial. de Catastro y Cartografía","220175","Fuerte Esperanza","Municipio Fuerte Esperanza","22",0.0683371232580535,"Chaco"
"Delegación Municipal",-24.6544130660635,-61.6482494847739,"Direc. Pcial. de Catastro y Cartografía","220168","El Sauzalito","Delegación Municipal El Sauzalito","22",0.0616133630355817,"Chaco"
